task_id,strategy,repetition_index,batch_id,model,latency_sec,total_tokens,estimated_cost,status,error_type,error_message,final_output_path,workspace_path,selected_route,route_confidence,manual_score_overall,manual_pass_fail,manual_route_was_good_choice,notes
task_001_bugfix_csv,multi,1.0,task1_run,gpt-5-mini,77.345,43244,0.018305,completed,,,outputs/task_001_bugfix_csv__multi__rep1.txt,workspaces/task_001_bugfix_csv/multi_rep_1,,,8.0,True,,"Successful multi-agent fix with useful reviewer notes, but more overhead and extra file edits than needed."
task_001_bugfix_csv,multi,2.0,task1_run,gpt-5-mini,83.635,37001,0.016373,completed,,,outputs/task_001_bugfix_csv__multi__rep2.txt,workspaces/task_001_bugfix_csv/multi_rep_2,,,7.8,True,,"Correct final state and sensible notes, but the pipeline was relatively expensive for a small parser bug."
task_001_bugfix_csv,multi,3.0,task1_run,gpt-5-mini,95.987,38483,0.016511,completed,,,outputs/task_001_bugfix_csv__multi__rep3.txt,workspaces/task_001_bugfix_csv/multi_rep_3,,,7.9,True,,"Correct result with decent review commentary, though still heavier than necessary for the scope of the task."
task_001_bugfix_csv,multi,4.0,task1_run,gpt-5-mini,96.106,47720,0.019828,completed,,,outputs/task_001_bugfix_csv__multi__rep4.txt,workspaces/task_001_bugfix_csv/multi_rep_4,,,7.7,True,,"Passed and fixed the main bug, but multi-agent overhead remained high relative to the simplicity of the change."
task_001_bugfix_csv,router,,multi_x4,gpt-5-mini,5.529,557,0.000692,completed,,,,,single,0.9,,,,
task_001_bugfix_csv,single,1.0,task1_run,gpt-5-mini,44.064,19788,0.008561,completed,,,outputs/task_001_bugfix_csv__single__rep1.txt,workspaces/task_001_bugfix_csv/single_rep_1,,,8.6,True,,"Correct fix plus escaped-quote support, but touched extra test harness files."
task_001_bugfix_csv,single,2.0,task1_run,gpt-5-mini,48.222,30969,0.012336,completed,,,outputs/task_001_bugfix_csv__single__rep2.txt,workspaces/task_001_bugfix_csv/single_rep_2,,,8.1,True,,"Good result and clean fix for the target bug, though it added extra support files and some broader parser changes."
task_001_bugfix_csv,single,3.0,task1_run,gpt-5-mini,34.01,18390,0.00769,completed,,,outputs/task_001_bugfix_csv__single__rep3.txt,workspaces/task_001_bugfix_csv/single_rep_3,,,7.8,True,,"Correct targeted fix, but still touched extra package/test-path files beyond the core parser bug."
task_001_bugfix_csv,single,4.0,task1_run,gpt-5-mini,33.966,17818,0.00733,completed,,,outputs/task_001_bugfix_csv__single__rep4.txt,workspaces/task_001_bugfix_csv/single_rep_4,,,7.4,True,,"Task goal was met, but the summary overclaimed escaped-quote handling and the run still changed extra support files."
task_002_multi_file_status,multi,1.0,task2_run,gpt-5-mini,74.037,39109,0.017194,completed,,,outputs/task_002_multi_file_status__multi__rep1.txt,workspaces/task_002_multi_file_status/multi_rep_1,,,8.7,True,,"Good multi-agent result with correct coordinated changes, but notably more expensive than the strongest single-agent runs."
task_002_multi_file_status,multi,2.0,task2_run,gpt-5-mini,116.574,98123,0.033256,completed,,,outputs/task_002_multi_file_status__multi__rep2.txt,workspaces/task_002_multi_file_status/multi_rep_2,,,7.5,True,,"Functionally correct, but it introduced unnecessary support files and spent far more tokens than needed for a small scoped change."
